Gene ID	source_id	Product Description	Input Ortholog(s)	gene_source_id	Gene Name or Symbol	
PF3D7_0408700	PF3D7_0408700.1	perforin-like protein 1	PVP01_0308000	PF3D7_0408700	PLP1	
PF3D7_0408800	PF3D7_0408800.1	conserved Plasmodium protein, unknown function	PVP01_0308100	PF3D7_0408800	N/A	
PF3D7_0408900	PF3D7_0408900.1	tRNA N6-adenosine threonylcarbamoyltransferase	PVP01_0308200	PF3D7_0408900	KAE1	
PF3D7_0408900	PF3D7_0408900.2	tRNA N6-adenosine threonylcarbamoyltransferase	PVP01_0308200	PF3D7_0408900	KAE1	
PF3D7_0409000	PF3D7_0409000.1	conserved Plasmodium protein, unknown function	PVP01_0308300	PF3D7_0409000	N/A	
PF3D7_0409100	PF3D7_0409100.1	U4/U6 small nuclear ribonucleoprotein PRP31, putative	PVP01_0308400	PF3D7_0409100	PRPF31	
PF3D7_0409200	PF3D7_0409200.1	protein SOF1, putative	PVP01_0308500	PF3D7_0409200	SOF1	
PF3D7_0409300	PF3D7_0409300.1	methyltransferase, putative	PVP01_0308600	PF3D7_0409300	N/A	
PF3D7_0409400	PF3D7_0409400.1	chaperone protein DnaJ	PVP01_0308700	PF3D7_0409400	DnaJ	
PF3D7_0409500	PF3D7_0409500.1	NAD(P)-binding protein, putative	PVP01_0308800	PF3D7_0409500	N/A	
PF3D7_0409600	PF3D7_0409600.1	replication protein A1, large subunit	PVP01_0308900	PF3D7_0409600	RPA1	
PF3D7_0409700	PF3D7_0409700.1	peptide chain release factor 2	PVP01_0309000	PF3D7_0409700	RF2	
PF3D7_0409800	PF3D7_0409800.1	zinc finger protein, putative	PVP01_0309100	PF3D7_0409800	N/A	
PF3D7_0409900	PF3D7_0409900.1	actin-like protein, putative	PVP01_0309200	PF3D7_0409900	ALP5b	
PF3D7_0410300	PF3D7_0410300.1	protein phosphatase PPM1, putative	PVP01_0309600	PF3D7_0410300	PPM1	
PF3D7_0410400	PF3D7_0410400.1	exosome complex component RRP4	PVP01_0309700	PF3D7_0410400	RRP4	
PF3D7_0410500	PF3D7_0410500.1	conserved Plasmodium protein, unknown function	PVP01_0309800	PF3D7_0410500	N/A	
PF3D7_0410600	PF3D7_0410600.1	armadillo-type repeat protein ATRP	PVP01_0309900	PF3D7_0410600	ATRP	
PF3D7_0410700	PF3D7_0410700.1	ribosome biogenesis GTPase A, putative	PVP01_0310000	PF3D7_0410700	RbgA	
PF3D7_0410900	PF3D7_0410900.1	conserved Plasmodium protein, unknown function	PVP01_0310200	PF3D7_0410900	N/A	
PF3D7_0411100	PF3D7_0411100.1	mediator of RNA polymerase II transcription subunit 8, putative	PVP01_0310400	PF3D7_0411100	MED8	
PF3D7_0411200	PF3D7_0411200.1	PP-loop family protein, putative	PVP01_0310500	PF3D7_0411200	N/A	
PF3D7_0411300	PF3D7_0411300.1	conserved Plasmodium protein, unknown function	PVP01_0310600	PF3D7_0411300	N/A	
PF3D7_0411400	PF3D7_0411400.1	DEAD box ATP-dependent RNA helicase, putative	PVP01_0310700	PF3D7_0411400	N/A	
PF3D7_0411700	PF3D7_0411700.1	conserved Plasmodium protein, unknown function	PVP01_0311000	PF3D7_0411700	N/A	
PF3D7_0411900	PF3D7_0411900.1	DNA polymerase alpha catalytic subunit A	PVP01_0311300	PF3D7_0411900	N/A	
PF3D7_0412000	PF3D7_0412000.1	LITAF-like zinc finger protein, putative	PVP01_0311400	PF3D7_0412000	N/A	
PF3D7_0412100	PF3D7_0412100.1	ribosomal protein S12, mitochondrial	PVP01_0311500	PF3D7_0412100	mtRPS12	
PF3D7_0412200	PF3D7_0412200.1	conserved Plasmodium protein, unknown function	PVP01_0311600	PF3D7_0412200	N/A	
PF3D7_0412300	PF3D7_0412300.1	phosphopantothenoylcysteine synthetase, putative	PVP01_0311700	PF3D7_0412300	N/A	
PF3D7_0413500	PF3D7_0413500.1	phosphoglucomutase-2	PVP01_0520000	PF3D7_0413500	PGM2	
PF3D7_0413600	PF3D7_0413600.1	26S protease regulatory subunit 6B, putative	PVP01_0520100	PF3D7_0413600	RPT3	
PF3D7_0413700	PF3D7_0413700.1	lysine decarboxylase-like protein, putative	PVP01_0520200	PF3D7_0413700	N/A	
PF3D7_0413800	PF3D7_0413800.1	50S ribosomal protein L10, putative	PVP01_0520300	PF3D7_0413800	N/A	
PF3D7_0413900	PF3D7_0413900.1	ubiquitin carboxyl-terminal hydrolase 13, putative	PVP01_0520400	PF3D7_0413900	USP13	
PF3D7_0414000	PF3D7_0414000.1	structural maintenance of chromosomes protein 3	PVP01_0520500	PF3D7_0414000	SMC3	
PF3D7_0414100	PF3D7_0414100.1	conserved Plasmodium membrane protein, unknown function	PVP01_0520600	PF3D7_0414100	N/A	
PF3D7_0414200	PF3D7_0414200.1	calmodulin-like protein	PVP01_0520700	PF3D7_0414200	N/A	
PF3D7_0414200	PF3D7_0414200.2	calmodulin-like protein	PVP01_0520700	PF3D7_0414200	N/A	
PF3D7_0414300	PF3D7_0414300.1	Rab5-interacting protein, putative	PVP01_0520800	PF3D7_0414300	N/A	
PF3D7_0414500	PF3D7_0414500.1	RNA-binding protein, putative	PVP01_0521000	PF3D7_0414500	N/A	
PF3D7_0414600	PF3D7_0414600.1	acylated pleckstrin-homology domain-containing protein, putative	PVP01_0521100	PF3D7_0414600	APH	
PF3D7_0414700	PF3D7_0414700.1	GTP-binding protein, putative	PVP01_0521200	PF3D7_0414700	N/A	
PF3D7_0414900	PF3D7_0414900.1	armadillo-domain containing rhoptry protein	PVP01_0521400	PF3D7_0414900	ARO	
PF3D7_0415000	PF3D7_0415000.1	arsenical pump-driving ATPase, putative	PVP01_0521500	PF3D7_0415000	N/A	
PF3D7_0415100	PF3D7_0415100.1	conserved protein, unknown function	PVP01_0521600	PF3D7_0415100	N/A	
PF3D7_0415200	PF3D7_0415200.1	conserved Plasmodium protein, unknown function	PVP01_0521700	PF3D7_0415200	N/A	
PF3D7_0415300	PF3D7_0415300.1	cdc2-related protein kinase 3	PVP01_0521800	PF3D7_0415300	CRK3	
PF3D7_0415400	PF3D7_0415400.1	coatomer subunit zeta, putative	PVP01_0521900	PF3D7_0415400	N/A	
PF3D7_0415500	PF3D7_0415500.1	nuclear cap-binding protein subunit 2, putative	PVP01_0522000	PF3D7_0415500	CBP20	
PF3D7_0415600	PF3D7_0415600.1	GTP:AMP phosphotransferase	PVP01_0522100	PF3D7_0415600	GAK	
PF3D7_0415700	PF3D7_0415700.1	conserved Plasmodium protein, unknown function	PVP01_0522200	PF3D7_0415700	N/A	
PF3D7_0415800	PF3D7_0415800.1	RING zinc finger protein, putative	PVP01_0522300	PF3D7_0415800	N/A	
PF3D7_0415900	PF3D7_0415900.1	60S ribosomal protein L15, putative	PVP01_0522400	PF3D7_0415900	N/A	
PF3D7_0416000	PF3D7_0416000.1	RNA-binding protein, putative	PVP01_0522500	PF3D7_0416000	N/A	
PF3D7_0416100	PF3D7_0416100.1	glutamyl-tRNA(Gln) amidotransferase subunit A	PVP01_0525500	PF3D7_0416100	GATA	
PF3D7_0416200	PF3D7_0416200.1	conserved protein, unknown function	PVP01_0525600	PF3D7_0416200	N/A	
PF3D7_0416300	PF3D7_0416300.1	DNA helicase MCM9, putative	PVP01_0525700	PF3D7_0416300	MCM9	
PF3D7_0416400	PF3D7_0416400.1	histone acetyltransferase, putative	PVP01_0525800	PF3D7_0416400	HAT1	
PF3D7_0416500	PF3D7_0416500.1	repressor of RNA polymerase III transcription MAF1	PVP01_0525900	PF3D7_0416500	MAF1	
PF3D7_0416600	PF3D7_0416600.1	prohibitin-like protein PHBL, putative	PVP01_0526000	PF3D7_0416600	PHBL	
PF3D7_0416700	PF3D7_0416700.1	CDGSH iron-sulfur domain-containing protein, putative	PVP01_0526100	PF3D7_0416700	N/A	
PF3D7_0416800	PF3D7_0416800.1	small GTP-binding protein sar1	PVP01_0526200	PF3D7_0416800	SAR1	
PF3D7_0416900	PF3D7_0416900.1	conserved Plasmodium protein, unknown function	PVP01_0526300	PF3D7_0416900	N/A	
PF3D7_0417100	PF3D7_0417100.1	mRNA-binding protein PUF2	PVP01_0526500	PF3D7_0417100	PUF2	
PF3D7_0417200	PF3D7_0417200.1	bifunctional dihydrofolate reductase-thymidylate synthase	PVP01_0526600	PF3D7_0417200	DHFR-TS	
PF3D7_0417300	PF3D7_0417300.1	LETM1-like protein, putative	PVP01_0526700	PF3D7_0417300	N/A	
PF3D7_0417500	PF3D7_0417500.1	memo-like protein	PVP01_0526900	PF3D7_0417500	N/A	
PF3D7_0417800	PF3D7_0417800.1	cdc2-related protein kinase 1	PVP01_0527200	PF3D7_0417800	CRK1	
PF3D7_0417900	PF3D7_0417900.1	conserved Plasmodium protein, unknown function	PVP01_0527300	PF3D7_0417900	N/A	
PF3D7_0418000	PF3D7_0418000.1	conserved Plasmodium protein, unknown function	PVP01_0527400	PF3D7_0418000	N/A	
PF3D7_0418100	PF3D7_0418100.1	protein SOC1, putative	PVP01_0527500	PF3D7_0418100	SOC1	
PF3D7_0418200	PF3D7_0418200.1	eukaryotic translation initiation factor 3 subunit M, putative	PVP01_0527600	PF3D7_0418200	EIF3M	
PF3D7_0418400	PF3D7_0418400.1	conserved Plasmodium protein, unknown function	PVP01_0527800	PF3D7_0418400	N/A	
PF3D7_0418500	PF3D7_0418500.1	trafficking protein particle complex subunit 3, putative	PVP01_0527900	PF3D7_0418500	BET3	
PF3D7_0418700	PF3D7_0418700.1	RNA-binding protein NOB1, putative	PVP01_0528100	PF3D7_0418700	N/A	
PF3D7_0418800	PF3D7_0418800.1	MOLO1 domain-containing protein, putative	PVP01_0528200	PF3D7_0418800	N/A	
PF3D7_0418900	PF3D7_0418900.1	conserved protein, unknown function	PVP01_0528300	PF3D7_0418900	N/A	
PF3D7_0419000	PF3D7_0419000.1	conserved Plasmodium protein, unknown function	PVP01_0528400	PF3D7_0419000	N/A	
PF3D7_0419100	PF3D7_0419100.1	conserved Plasmodium protein, unknown function	PVP01_0528500	PF3D7_0419100	N/A	
PF3D7_0419200	PF3D7_0419200.1	protein transport protein GOT1, putative	PVP01_0528600	PF3D7_0419200	GOT1	
PF3D7_0419300	PF3D7_0419300.1	conserved Plasmodium protein, unknown function	PVP01_0528700	PF3D7_0419300	N/A	
PF3D7_0419400	PF3D7_0419400.1	conserved Plasmodium protein, unknown function	PVP01_0528800	PF3D7_0419400	N/A	
PF3D7_0419500	PF3D7_0419500.1	conserved Plasmodium membrane protein, unknown function	PVP01_0528900	PF3D7_0419500	N/A	
PF3D7_0419600	PF3D7_0419600.1	ran-specific GTPase-activating protein 1, putative	PVP01_0529000	PF3D7_0419600	RANBP1	
PF3D7_0419700	PF3D7_0419700.1	apical merozoite protein	PVP01_0529100	PF3D7_0419700	Pf34	
PF3D7_0419800	PF3D7_0419800.1	60S ribosomal protein L7ae/L30e, putative	PVP01_0529200	PF3D7_0419800	N/A	
PF3D7_0419900	PF3D7_0419900.1	phosphatidylinositol 4-kinase, putative	PVP01_0529300	PF3D7_0419900	N/A	
PF3D7_0420100	PF3D7_0420100.1	serine/threonine protein kinase RIO2	PVP01_0529500	PF3D7_0420100	RIO2	
PF3D7_0420200	PF3D7_0420200.1	holo-[acyl-carrier-protein] synthase, putative	PVP01_0529700	PF3D7_0420200	ACPS	
PF3D7_0420400	PF3D7_0420400.1	ribosome-recycling factor	PVP01_0529900	PF3D7_0420400	RRF2	
PF3D7_0420500	PF3D7_0420500.1	conserved Plasmodium protein, unknown function	PVP01_0530000	PF3D7_0420500	N/A	
PF3D7_0420600	PF3D7_0420600.1	conserved Plasmodium protein, unknown function	PVP01_0530100	PF3D7_0420600	N/A	
PF3D7_0421700	PF3D7_0421700.1	conserved Plasmodium protein, unknown function	PVP01_0530200	PF3D7_0421700	N/A	
PF3D7_0421800	PF3D7_0421800.1	conserved Plasmodium protein, unknown function	PVP01_0530300	PF3D7_0421800	N/A	
PF3D7_0421900	PF3D7_0421900.1	conserved Plasmodium protein, unknown function	PVP01_0530400	PF3D7_0421900	N/A	
PF3D7_0422000	PF3D7_0422000.1	steroid dehydrogenase, putative	PVP01_0530500	PF3D7_0422000	N/A	
PF3D7_0422100	PF3D7_0422100.1	transmembrane emp24 domain-containing protein, putative	PVP01_0530600	PF3D7_0422100	N/A	
PF3D7_0422200	PF3D7_0422200.1	erythrocyte membrane-associated antigen	PVP01_0530700	PF3D7_0422200	N/A	
PF3D7_0422300	PF3D7_0422300.1	alpha tubulin 2	PVP01_0530800	PF3D7_0422300	N/A	
PF3D7_0422400	PF3D7_0422400.1	40S ribosomal protein S19	PVP01_0530900	PF3D7_0422400	RPS19	
PF3D7_0422500	PF3D7_0422500.1	pre-mRNA-splicing helicase BRR2, putative	PVP01_0531000	PF3D7_0422500	BRR2	
PF3D7_0422600	PF3D7_0422600.1	conserved Plasmodium protein, unknown function	PVP01_0531100	PF3D7_0422600	N/A	
PF3D7_0422700	PF3D7_0422700.1	eukaryotic initiation factor 4A-III, putative	PVP01_0531200	PF3D7_0422700	EIF4A3	
PF3D7_0422800	PF3D7_0422800.1	serpentine receptor, putative	PVP01_0531300	PF3D7_0422800	SR12	
PF3D7_0422900	PF3D7_0422900.1	methyltransferase, putative	PVP01_0531400	PF3D7_0422900	N/A	
PF3D7_0423100	PF3D7_0423100.1	AP-4 complex subunit sigma, putative	PVP01_0531600	PF3D7_0423100	N/A	
PF3D7_0423200	PF3D7_0423200.1	BSD-domain protein, putative	PVP01_0531700	PF3D7_0423200	N/A	
PF3D7_0423500	PF3D7_0423500.1	glideosome associated protein with multiple membrane spans 2	PVP01_0532000	PF3D7_0423500	GAPM2	
PF3D7_0423600	PF3D7_0423600.1	conserved Plasmodium protein, unknown function	PVP01_0532100	PF3D7_0423600	N/A	
PF3D7_0501700	PF3D7_0501700.1	anaphase-promoting complex subunit 3, putative	PVP01_1033300	PF3D7_0501700	APC3	
PF3D7_0501800	PF3D7_0501800.1	chromatin assembly factor 1 subunit A	PVP01_1033200	PF3D7_0501800	CAF1A	
PF3D7_0501900	PF3D7_0501900.1	conserved protein, unknown function	PVP01_1033100	PF3D7_0501900	N/A	
PF3D7_0502000	PF3D7_0502000.1	vacuolar protein sorting-associated protein 11, putative	PVP01_1033000	PF3D7_0502000	VPS11	
PF3D7_0502100	PF3D7_0502100.1	HCNGP-like protein	PVP01_1032900	PF3D7_0502100	N/A	
PF3D7_0502200	PF3D7_0502200.1	protein Mpv17, putative	PVP01_1032800	PF3D7_0502200	MPV17	
PF3D7_0502300	PF3D7_0502300.1	conserved Plasmodium protein, unknown function	PVP01_1032700	PF3D7_0502300	N/A	
PF3D7_0502400	PF3D7_0502400.1	merozoite surface protein 8	PVP01_1032600	PF3D7_0502400	MSP8	
PF3D7_0502500	PF3D7_0502500.1	conserved Plasmodium protein, unknown function	PVP01_1032500	PF3D7_0502500	N/A	
PF3D7_0502600	PF3D7_0502600.1	conserved Plasmodium protein, unknown function	PVP01_1032400	PF3D7_0502600	N/A	
PF3D7_0502700	PF3D7_0502700.1	conserved protein, unknown function	PVP01_1032300	PF3D7_0502700	N/A	
PF3D7_0502800	PF3D7_0502800.1	DnaJ protein, putative	PVP01_1032200	PF3D7_0502800	N/A	
PF3D7_0502900	PF3D7_0502900.1	Tim10/DDP family zinc finger protein, putative	PVP01_1032100	PF3D7_0502900	N/A	
PF3D7_0503000	PF3D7_0503000.1	50S ribosomal protein L28, apicoplast, putative	PVP01_1032000	PF3D7_0503000	N/A	
PF3D7_0503100	PF3D7_0503100.1	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative	PVP01_1031900	PF3D7_0503100	IspE	
PF3D7_0503200	PF3D7_0503200.1	cell division control protein 6, putative	PVP01_1031800	PF3D7_0503200	CDC6	
PF3D7_0503300	PF3D7_0503300.1	serine/arginine-rich splicing factor 12	PVP01_1030600	PF3D7_0503300	SRSF12	
PF3D7_0503400	PF3D7_0503400.1	actin-depolymerizing factor 1	PVP01_1030500	PF3D7_0503400	ADF1	
PF3D7_0503500	PF3D7_0503500.1	protein kinase, putative	PVP01_1030400	PF3D7_0503500	N/A	
PF3D7_0503600	PF3D7_0503600.1	myosin B	PVP01_1030300	PF3D7_0503600	MyoB	
PF3D7_0503800	PF3D7_0503800.1	60S ribosomal protein L31	PVP01_1030200	PF3D7_0503800	RPL31	
PF3D7_0503900	PF3D7_0503900.1	conserved Plasmodium protein, unknown function	PVP01_1030100	PF3D7_0503900	N/A	
PF3D7_0504000	PF3D7_0504000.1	cation transporting P-ATPase	PVP01_1030000	PF3D7_0504000	ATPase3	
PF3D7_0504100	PF3D7_0504100.1	AN1-type zinc finger protein, putative	PVP01_1029900	PF3D7_0504100	N/A	
PF3D7_0504200	PF3D7_0504200.1	ATP-dependent RNA helicase DDX27, putative	PVP01_1029800	PF3D7_0504200	DDX27	
PF3D7_0504300	PF3D7_0504300.1	conserved Plasmodium protein, unknown function	PVP01_1029700	PF3D7_0504300	N/A	
PF3D7_0504400	PF3D7_0504400.1	ATP-dependent helicase, putative	PVP01_1029600	PF3D7_0504400	N/A	
PF3D7_0504500	PF3D7_0504500.1	MOLO1 domain-containing protein, putative	PVP01_1029500	PF3D7_0504500	N/A	
PF3D7_0504600	PF3D7_0504600.1	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial, putative	PVP01_1029400	PF3D7_0504600	BCKDHB	
PF3D7_0504800	PF3D7_0504800.1	conserved Plasmodium protein, unknown function	PVP01_1029200	PF3D7_0504800	N/A	
PF3D7_0504900	PF3D7_0504900.1	conserved protein, unknown function	PVP01_1029100	PF3D7_0504900	N/A	
PF3D7_0505000	PF3D7_0505000.1	MMS19-like protein, putative	PVP01_1012000,PVP01_1029000	PF3D7_0505000	N/A	
PF3D7_0505100	PF3D7_0505100.1	trafficking protein particle complex subunit 8, putative	PVP01_1028900	PF3D7_0505100	TRS85	
PF3D7_0505200	PF3D7_0505200.1	actin-like protein, putative	PVP01_1028800	PF3D7_0505200	ALP2b	
PF3D7_0505300	PF3D7_0505300.1	UDP-N-acetylglucosamine transporter, putative	PVP01_1028700	PF3D7_0505300	N/A	
PF3D7_0505400	PF3D7_0505400.1	conserved protein, unknown function	PVP01_1028600	PF3D7_0505400	N/A	
PF3D7_0505500	PF3D7_0505500.1	DNA mismatch repair protein MSH6, putative	PVP01_1028500	PF3D7_0505500	MSH6	
PF3D7_0505600	PF3D7_0505600.1	conserved protein, unknown function	PVP01_1028400	PF3D7_0505600	N/A	
PF3D7_0505700	PF3D7_0505700.1	conserved Plasmodium membrane protein, unknown function	PVP01_1028300	PF3D7_0505700	N/A	
PF3D7_0505800	PF3D7_0505800.1	small ubiquitin-related modifier	PVP01_1028200	PF3D7_0505800	SUMO	
PF3D7_0505900	PF3D7_0505900.1	mediator of RNA polymerase II transcription subunit 11, putative	PVP01_1028100	PF3D7_0505900	MED11	
PF3D7_0506000	PF3D7_0506000.1	conserved Plasmodium protein, unknown function	PVP01_1028000	PF3D7_0506000	N/A	
PF3D7_0506100	PF3D7_0506100.1	60S ribosomal subunit protein L24, putative	PVP01_1027900	PF3D7_0506100	N/A	
PF3D7_0506200	PF3D7_0506200.1	TATA-box-binding protein	PVP01_1027800	PF3D7_0506200	TBP	
PF3D7_0506300	PF3D7_0506300.1	conserved protein, unknown function	PVP01_1027700	PF3D7_0506300	N/A	
PF3D7_0506400	PF3D7_0506400.1	conserved Plasmodium protein, unknown function	PVP01_1027600	PF3D7_0506400	N/A	
PF3D7_0506700	PF3D7_0506700.1	GTPase-activating protein, putative	PVP01_1027300	PF3D7_0506700	N/A	
PF3D7_0506800	PF3D7_0506800.1	transcription factor 25, putative	PVP01_1027200	PF3D7_0506800	TCF25	
PF3D7_0506900	PF3D7_0506900.1	rhomboid protease ROM4	PVP01_1027100	PF3D7_0506900	ROM4	
PF3D7_0507000	PF3D7_0507000.1	conserved protein, unknown function	PVP01_1027000	PF3D7_0507000	N/A	
PF3D7_0507100	PF3D7_0507100.1	60S ribosomal protein L4	PVP01_1026900	PF3D7_0507100	RPL4	
PF3D7_0507200	PF3D7_0507200.1	subtilisin-like protease 3	PVP01_1026800	PF3D7_0507200	SUB3	
PF3D7_0507400	PF3D7_0507400.1	subtilisin propeptide-like protein	PVP01_1026600	PF3D7_0507400	SUB1-ProM	
PF3D7_0507500	PF3D7_0507500.1	subtilisin-like protease 1	PVP01_1026500,PVP01_1026700	PF3D7_0507500	SUB1	
PF3D7_0507600	PF3D7_0507600.1	protein CAF40, putative	PVP01_1026400	PF3D7_0507600	CAF40	
PF3D7_0507700	PF3D7_0507700.1	nuclear protein localization protein 4, putative	PVP01_1026300	PF3D7_0507700	NPL4	
PF3D7_0507800	PF3D7_0507800.1	conserved protein, unknown function	PVP01_1026200	PF3D7_0507800	N/A	
PF3D7_0507900	PF3D7_0507900.1	conserved Plasmodium protein, unknown function	PVP01_1026100	PF3D7_0507900	N/A	
PF3D7_0508000	PF3D7_0508000.1	6-cysteine protein	PVP01_1026000	PF3D7_0508000	P38	
PF3D7_0508100	PF3D7_0508100.1	SET domain protein, putative	PVP01_1025900	PF3D7_0508100	SET9	
PF3D7_0508200	PF3D7_0508200.1	longevity-assurance (LAG1) protein, putative	PVP01_1025800	PF3D7_0508200	N/A	
PF3D7_0508300	PF3D7_0508300.1	triose phosphate transporter	PVP01_1003700,PVP01_1025700	PF3D7_0508300	TPT	
PF3D7_0508400	PF3D7_0508400.1	conserved protein, unknown function	PVP01_1025600	PF3D7_0508400	N/A	
PF3D7_0508500	PF3D7_0508500.1	guanidine nucleotide exchange factor	PVP01_1025500	PF3D7_0508500	RCC1	
PF3D7_0508600	PF3D7_0508600.1	conserved protein, unknown function	PVP01_1025400	PF3D7_0508600	N/A	
PF3D7_0508700	PF3D7_0508700.1	pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative	PVP01_1025300	PF3D7_0508700	PRP5	
PF3D7_0508800	PF3D7_0508800.1	single-stranded DNA-binding protein	PVP01_1025200	PF3D7_0508800	SSB	
PF3D7_0509000	PF3D7_0509000.1	alpha-soluble NSF attachment protein, putative	PVP01_1025000	PF3D7_0509000	alphaSNAP	
PF3D7_0509100	PF3D7_0509100.1	structural maintenance of chromosomes protein 4, putative	PVP01_1024900	PF3D7_0509100	SMC4	
PF3D7_0509200	PF3D7_0509200.1	leucine-rich repeat protein	PVP01_1024800	PF3D7_0509200	LRR2	
PF3D7_0509300	PF3D7_0509300.1	conserved Plasmodium protein, unknown function	PVP01_1024700	PF3D7_0509300	N/A	
PF3D7_0509400	PF3D7_0509400.1	RNA polymerase I	PVP01_1024600	PF3D7_0509400	RNAPI	
PF3D7_0509500	PF3D7_0509500.1	ERCC4 domain-containing protein, putative	PVP01_1024500	PF3D7_0509500	N/A	
PF3D7_0509600	PF3D7_0509600.1	asparagine--tRNA ligase	PVP01_1024400	PF3D7_0509600	AsnRS	
PF3D7_0509800	PF3D7_0509800.1	phosphatidylinositol 4-kinase	PVP01_1024200	PF3D7_0509800	PI4K	
PF3D7_0509900	PF3D7_0509900.1	conserved protein, unknown function	PVP01_1024100	PF3D7_0509900	N/A	
PF3D7_0510000	PF3D7_0510000.1	conserved Plasmodium protein, unknown function	PVP01_1024000	PF3D7_0510000	N/A	
PF3D7_0510100	PF3D7_0510100.1	conserved protein, unknown function	PVP01_1023900	PF3D7_0510100	N/A	
PF3D7_0510200	PF3D7_0510200.1	peptidyl-prolyl cis-trans isomerase	PVP01_1023800	PF3D7_0510200	CYP87	
PF3D7_0510300	PF3D7_0510300.1	stripes inner membrane complex protein, putative	PVP01_1023700	PF3D7_0510300	SIP	
PF3D7_0510400	PF3D7_0510400.1	PDCD2 domain-containing protein, putative	PVP01_1023600	PF3D7_0510400	N/A	
PF3D7_0510500	PF3D7_0510500.1	topoisomerase I	PVP01_1023500	PF3D7_0510500	TopoI	
PF3D7_0510700	PF3D7_0510700.1	conserved Plasmodium protein, unknown function	PVP01_1023300	PF3D7_0510700	N/A	
PF3D7_0510800	PF3D7_0510800.1	WD repeat-containing protein, putative	PVP01_1023200	PF3D7_0510800	N/A	
PF3D7_0511000	PF3D7_0511000.1	translationally-controlled tumor protein homolog	PVP01_1023000	PF3D7_0511000	TCTP	
PF3D7_0511100	PF3D7_0511100.1	conserved Plasmodium protein, unknown function	PVP01_1022900	PF3D7_0511100	N/A	
PF3D7_0511200	PF3D7_0511200.1	stearoyl-CoA desaturase	PVP01_1022800	PF3D7_0511200	SCD	
PF3D7_0511300	PF3D7_0511300.1	MORN repeat protein, putative	PVP01_1022700	PF3D7_0511300	N/A	
PF3D7_0511500	PF3D7_0511500.1	RNA pseudouridylate synthase, putative	PVP01_1022500	PF3D7_0511500	N/A	
PF3D7_0511700	PF3D7_0511700.1	EKC/KEOPS complex subunit CGI121	PVP01_1022300	PF3D7_0511700	CGI121	
PF3D7_0511800	PF3D7_0511800.1	inositol-3-phosphate synthase	PVP01_1022200	PF3D7_0511800	INO1	
PF3D7_0511900	PF3D7_0511900.1	conserved Plasmodium protein, unknown function	PVP01_1022100	PF3D7_0511900	N/A	
PF3D7_0512000	PF3D7_0512000.1	prefoldin subunit 6, putative	PVP01_1022000	PF3D7_0512000	N/A	
PF3D7_0512100	PF3D7_0512100.1	conserved protein, unknown function	PVP01_1021900	PF3D7_0512100	N/A	
PF3D7_0512200	PF3D7_0512200.1	glutathione synthetase	PVP01_1021800	PF3D7_0512200	GS	
PF3D7_0512300	PF3D7_0512300.1	CDK-activating kinase assembly factor MAT1	PVP01_1021700	PF3D7_0512300	MAT1	
PF3D7_0512400	PF3D7_0512400.1	conserved Plasmodium protein, unknown function	PVP01_1021600	PF3D7_0512400	N/A	
PF3D7_0512500	PF3D7_0512500.1	conserved Plasmodium protein, unknown function	PVP01_1021400	PF3D7_0512500	N/A	
PF3D7_0512600	PF3D7_0512600.1	ras-related protein Rab-1B	PVP01_1021300	PF3D7_0512600	RAB1b	
PF3D7_0512700	PF3D7_0512700.1	orotate phosphoribosyltransferase	PVP01_1021200	PF3D7_0512700	OPRT	
PF3D7_0512800	PF3D7_0512800.1	conserved Plasmodium protein, unknown function	PVP01_1021100	PF3D7_0512800	N/A	
PF3D7_0512900	PF3D7_0512900.1	AKAP-like protein	PVP01_1021000	PF3D7_0512900	AKAL	
PF3D7_0513000	PF3D7_0513000.1	conserved protein, unknown function	PVP01_1020900	PF3D7_0513000	N/A	
PF3D7_0513100	PF3D7_0513100.1	conserved protein, unknown function	PVP01_1020800	PF3D7_0513100	N/A	
PF3D7_0513200	PF3D7_0513200.1	CPSF domain-containing protein, putative	PVP01_1020700	PF3D7_0513200	N/A	
PF3D7_0513300	PF3D7_0513300.1	purine nucleoside phosphorylase	PVP01_1020600	PF3D7_0513300	PNP	
PF3D7_0513400	PF3D7_0513400.1	GTP-binding protein YihA1	PVP01_1020500	PF3D7_0513400	YihA1	
PF3D7_0513500	PF3D7_0513500.1	mitochondrial import inner membrane translocase subunit TIM16, putative	PVP01_1020400	PF3D7_0513500	PAM16	
PF3D7_0513600	PF3D7_0513600.1	deoxyribodipyrimidine photo-lyase, putative	PVP01_1020300	PF3D7_0513600	N/A	
PF3D7_0513700	PF3D7_0513700.1	secreted ookinete protein, putative	PVP01_1020200	PF3D7_0513700	PSOP12	
PF3D7_0513800	PF3D7_0513800.1	ras-related protein Rab-1A	PVP01_1020100	PF3D7_0513800	RAB1a	
PF3D7_0513900	PF3D7_0513900.1	conserved protein, unknown function	PVP01_1020000	PF3D7_0513900	N/A	
PF3D7_0514000	PF3D7_0514000.1	tubulin--tyrosine ligase, putative	PVP01_1019900	PF3D7_0514000	TTL	
PF3D7_0514100	PF3D7_0514100.1	ATP-dependent DNA helicase UvrD	PVP01_1019800	PF3D7_0514100	UvrD	
