Gene ID	source_id	Product Description	Gene Name or Symbol	gene_source_id	P. falciparum Su Seven Stages RNA Seq data - Ring - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Early Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Late Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Schizont - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte II - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte V - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Ookinete - unique (3D7 7Stages RNA-Seq)	
PF3D7_0519400	PF3D7_0519400.1	40S ribosomal protein S24	RPS24	PF3D7_0519400	1680.53	1815.38	791.4	345.03	1695.57	604.13	377.38	
PF3D7_0519500	PF3D7_0519500.1	CCR4 domain-containing protein 1, putative	CCR4-1	PF3D7_0519500	23.01	113.72	34.36	16.17	17.07	39.41	34.26	
PF3D7_0519600	PF3D7_0519600.1	zinc finger protein, putative	N/A	PF3D7_0519600	24.8	31.81	31.33	11.47	5.9	9.15	4.59	
PF3D7_0519700	PF3D7_0519700.1	FoP domain-containing protein, putative	N/A	PF3D7_0519700	150.84	102.39	106.74	32.08	111.89	139.82	138.71	
PF3D7_0519800	PF3D7_0519800.1	EELM2 domain-containing protein, putative	N/A	PF3D7_0519800	170.93	386.21	114.51	55.23	109.99	49.84	998.97	
PF3D7_0519900	PF3D7_0519900.1	conserved protein, unknown function	N/A	PF3D7_0519900	5.17	9.32	10.86	5.1	7.59	35.22	28.28	
PF3D7_0520000	PF3D7_0520000.1	40S ribosomal protein S9, putative	RPS9	PF3D7_0520000	974.46	1916.45	908.66	608.34	1625.11	285.89	328.78	
PF3D7_0520100	PF3D7_0520100.1	protein phosphatase PPM9, putative	PPM9	PF3D7_0520100	24.91	28.1	18.58	6.13	17.76	16.51	7.01	
PF3D7_0520200	PF3D7_0520200.1	mediator of RNA polymerase II transcription subunit 17, putative	MED17	PF3D7_0520200	7.47	24.43	25.87	6.51	5.55	11.02	25.57	
PF3D7_0520300	PF3D7_0520300.1	U6 snRNA-associated Sm-like protein LSm2, putative	LSM2	PF3D7_0520300	183.53	185.1	103.05	17.86	355.46	162	61.97	
PF3D7_0520400	PF3D7_0520400.1	single-stranded DNA-binding protein, putative	N/A	PF3D7_0520400	4.69	8.62	33.42	9.57	10.49	28.24	3.28	
PF3D7_0520500	PF3D7_0520500.1	phosphomethylpyrimidine kinase, putative	N/A	PF3D7_0520500	22.76	15.6	30.71	41.15	5.66	29.22	3.19	
PF3D7_0520600	PF3D7_0520600.1	bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	Ap4AH	PF3D7_0520600	126.6	102.79	52.33	13.49	237.79	50.72	22.68	
PF3D7_0520700	PF3D7_0520700.1	CDC73 domain-containing protein, putative	N/A	PF3D7_0520700	12.02	20.42	8.77	2.12	6.86	26.82	1.02	
PF3D7_0520800	PF3D7_0520800.1	conserved protein, unknown function	N/A	PF3D7_0520800	9.76	15.63	24.82	5.93	3.71	7.76	6.03	
PF3D7_0520900	PF3D7_0520900.1	adenosylhomocysteinase	SAHH	PF3D7_0520900	201.42	258.72	1209.17	561.58	52.81	19.22	43.38	
PF3D7_0521000	PF3D7_0521000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0521000	42.45	40.44	20.09	1.19	12.44	70.45	66.87	
PF3D7_0521100	PF3D7_0521100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0521100	1.89	0.37	0.93	0.95	2.31	6.13	0.65	
PF3D7_0521200	PF3D7_0521200.1	conserved protein, unknown function	N/A	PF3D7_0521200	4.65	1.09	6.84	0	12.13	46.11	25.62	
PF3D7_0521300	PF3D7_0521300.1	zinc finger protein, putative	N/A	PF3D7_0521300	22.72	13.24	13.66	2.91	8.98	45.76	15.1	
PF3D7_0521400	PF3D7_0521400.1	conserved protein, unknown function	N/A	PF3D7_0521400	3.22	8.43	16	4.4	4.17	15.89	7.04	
PF3D7_0521500	PF3D7_0521500.1	ribosomal large subunit pseudouridylate synthase, putative	N/A	PF3D7_0521500	9.17	16.95	21.79	7.19	3.61	12.46	6.1	
PF3D7_0521600	PF3D7_0521600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0521600	4.67	3.16	3.44	0	24.2	101.62	20.44	
PF3D7_0521700	PF3D7_0521700.1	ATP-dependent RNA helicase DDX1, putative	DDX1	PF3D7_0521700	11.17	7.1	8.47	2.94	4.46	5.48	3.53	
PF3D7_0521800	PF3D7_0521800.1	AFG1-like ATPase, putative	N/A	PF3D7_0521800	7.04	1.28	7.54	5.19	22.33	16.82	4.68	
PF3D7_0521900	PF3D7_0521900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0521900	6.63	0.81	1.78	0.35	12.16	34.17	15.91	
PF3D7_0522000	PF3D7_0522000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0522000	12.59	44.92	26.26	3.82	633.52	675.78	50.5	
PF3D7_0522100	PF3D7_0522100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0522100	3.34	1	15.45	16.48	10.91	45.02	18.82	
PF3D7_0522200	PF3D7_0522200.1	transcription initiation factor TFIID subunit 10, putative	TAF10	PF3D7_0522200	83.26	23.57	39.21	17.64	271.83	314.89	25.42	
PF3D7_0522300	PF3D7_0522300.1	18S rRNA (guanine-N(7))-methyltransferase, putative	N/A	PF3D7_0522300	86.5	171.57	67.94	24.77	89.19	41.18	9.01	
PF3D7_0522400	PF3D7_0522400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0522400	3.99	0.91	17.31	18.58	12.67	52.44	11.29	
PF3D7_0522500	PF3D7_0522500.1	50S ribosomal protein L17, apicoplast, putative	RPL17	PF3D7_0522500	4.75	4.59	83.15	37.08	366.83	163.26	62.34	
PF3D7_0522600	PF3D7_0522600.1	magnesium transporter NIPA, putative	N/A	PF3D7_0522600	6.32	11.92	51.87	108.32	16.97	21.52	30.73	
PF3D7_0522700	PF3D7_0522700.1	iron-sulfur cluster assembly protein SufA	SufA	PF3D7_0522700	5.73	2.87	14.53	9.28	7.25	146.89	103.05	
PF3D7_0522800	PF3D7_0522800.1	pre-mRNA-splicing factor BUD31, putative	BUD31	PF3D7_0522800	56.64	87.98	38.32	15.34	118.94	94.94	190.94	
PF3D7_0522900	PF3D7_0522900.1	zinc finger protein, putative	N/A	PF3D7_0522900	6.49	2.24	4.7	0.8	8.09	45.01	367.76	
PF3D7_0523000	PF3D7_0523000.1	multidrug resistance protein 1	MDR1	PF3D7_0523000	286.74	346.86	145.19	33.29	25.62	49.77	92.17	
PF3D7_0523100	PF3D7_0523100.1	mitochondrial-processing peptidase subunit alpha, putative	N/A	PF3D7_0523100	38.11	75.78	107.49	56.33	28.52	13.46	14.83	
PF3D7_0523200	PF3D7_0523200.1	heptatricopeptide repeat-containing protein, putative	N/A	PF3D7_0523200	7.35	16.08	10.63	8.62	8.2	27.15	3.15	
PF3D7_0523300	PF3D7_0523300.1	cytochrome c oxidase subunit ApiCOX18, putative	N/A	PF3D7_0523300	25.08	64.32	208.19	155.98	3097.01	463.21	94.61	
PF3D7_0523400	PF3D7_0523400.1	DnaJ protein, putative	N/A	PF3D7_0523400	13.15	43.03	79.81	34.01	15.16	28.8	180.11	
PF3D7_0523500	PF3D7_0523500.1	dynein light chain Tctex-type, putative	N/A	PF3D7_0523500	4.47	4.93	15	0	359.28	278.41	21.74	
PF3D7_0523600	PF3D7_0523600.1	conserved protein, unknown function	N/A	PF3D7_0523600	5.72	11.05	92.63	122.05	323.3	54.45	23.84	
PF3D7_0523700	PF3D7_0523700.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_0523700	3.97	3.72	2.64	1.83	4.23	24.94	5.74	
PF3D7_0523800	PF3D7_0523800.1	divalent metal transporter, putative	N/A	PF3D7_0523800	30.01	4.77	21.31	8.74	15.93	45.82	16.65	
PF3D7_0523900	PF3D7_0523900.1	MerC domain-containing protein, putative	N/A	PF3D7_0523900	47.2	23.53	37.61	45.53	212.28	130.91	65.62	
PF3D7_0524000	PF3D7_0524000.1	karyopherin beta	KASbeta	PF3D7_0524000	426.7	276.8	335.73	104.3	9.08	23.07	80.28	
PF3D7_0524100	PF3D7_0524100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0524100	54.27	11.62	11.6	4.48	16.04	73.67	25.51	
PF3D7_0524200	PF3D7_0524200.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_0524200	8.04	0.99	15.07	14.65	186.26	58.18	12.79	
PF3D7_0524300	PF3D7_0524300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0524300	30.89	25.22	28.18	7.1	13.84	32.98	10.96	
PF3D7_0524400	PF3D7_0524400.1	ribosome-interacting GTPase 1, putative	RBG1	PF3D7_0524400	56.79	160.72	127.73	56.39	42.65	29.03	35.22	
PF3D7_0524500	PF3D7_0524500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0524500	35.63	16.88	40.36	16.65	61.52	75.55	11.99	
PF3D7_0524600	PF3D7_0524600.1	50S ribosomal protein L12, apicoplast, putative	N/A	PF3D7_0524600	13.17	6.14	66.75	38.4	126.46	320.82	61.49	
PF3D7_0524700	PF3D7_0524700.1	mitochondrial import receptor subunit TOM22, putative	TOM22	PF3D7_0524700	112.74	201.84	109.76	31.15	1274.34	220.28	84.19	
PF3D7_0524800	PF3D7_0524800.1	ubiquitin fusion degradation protein 1, putative	UFD1	PF3D7_0524800	9.05	9.4	9.99	7.95	20.93	60.23	2.83	
PF3D7_0524900	PF3D7_0524900.1	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative	TYW1	PF3D7_0524900	101.36	94.9	36.26	5.01	31.45	38.17	21.56	
PF3D7_0525000	PF3D7_0525000.1	zinc finger protein, putative	N/A	PF3D7_0525000	30.53	426.68	72.34	10.25	30.8	35.9	207.45	
PF3D7_0525100	PF3D7_0525100.1	acyl-CoA synthetase	ACS10	PF3D7_0525100	112.27	104.32	298.96	49	28.21	57.25	283.93	
PF3D7_0525200	PF3D7_0525200.1	structural maintenance of chromosomes protein 6, putative	SMC6	PF3D7_0525200	16.87	11.65	37.67	36.82	13.19	27.59	38.86	
PF3D7_0525300	PF3D7_0525300.1	conserved protein, unknown function	N/A	PF3D7_0525300	4.11	0.53	8.22	7.28	29.22	788.14	15.43	
PF3D7_0525400	PF3D7_0525400.1	7-helix-1 protein	N/A	PF3D7_0525400	6.78	1.09	27.18	18.52	66.2	126.22	22.25	
PF3D7_0525500	PF3D7_0525500.1	WD repeat-containing protein, putative	N/A	PF3D7_0525500	21.18	17.15	3.78	0.66	3.09	10.2	2.13	
PF3D7_0525600	PF3D7_0525600.1	RNA methyltransferase, putative	N/A	PF3D7_0525600	6.28	22.05	63.62	32.25	86.35	46.27	29.58	
PF3D7_0525700	PF3D7_0525700.1	conserved protein, unknown function	N/A	PF3D7_0525700	6.87	11.61	142.48	103.2	527.22	61.96	221.6	
PF3D7_0525800	PF3D7_0525800.1	inner membrane complex protein 1g, putative	IMC1g	PF3D7_0525800	11.85	3.39	307.43	198.86	19.88	23.69	701.66	
PF3D7_0525900	PF3D7_0525900.1	NIMA related kinase 2	NEK2	PF3D7_0525900	2.76	0.53	1.16	0	42.53	143.47	259.12	
PF3D7_0526000	PF3D7_0526000.1	RAP protein, putative	N/A	PF3D7_0526000	4.35	11.45	11.78	3.58	16.72	78.4	6.76	
PF3D7_0526100	PF3D7_0526100.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_0526100	4.7	3.11	9.76	1.01	41.79	561.99	9.67	
PF3D7_0526200	PF3D7_0526200.1	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2	PF3D7_0526200	8.15	14	48.78	63.1	10.88	48.26	25.42	
PF3D7_0526200	PF3D7_0526200.2	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2	PF3D7_0526200	8.15	14	48.78	63.1	10.88	48.26	25.42	
PF3D7_0526300	PF3D7_0526300.1	WD repeat-containing protein 55, putative	WDR55	PF3D7_0526300	29.37	17.65	20.98	8.28	39.48	94.72	38.25	
PF3D7_0526400	PF3D7_0526400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0526400	2.03	0.99	9.91	10.26	51.55	349.93	16.43	
PF3D7_0526500	PF3D7_0526500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0526500	64.41	41.88	30.86	6.71	15.93	24.93	19.33	
PF3D7_0526600	PF3D7_0526600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0526600	8.49	5.3	20.44	3.01	3.06	6.63	153.72	
PF3D7_0526700	PF3D7_0526700.1	conserved protein, unknown function	N/A	PF3D7_0526700	15.14	16.91	40.34	12.95	9.28	28.42	25.5	
PF3D7_0526800	PF3D7_0526800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0526800	297.92	175.05	172.01	33.56	122.13	71.42	33.59	
PF3D7_0526900	PF3D7_0526900.1	transmembrane emp24 domain-containing protein, putative	N/A	PF3D7_0526900	464.69	124.69	187.37	82.56	157.75	658.76	41.51	
PF3D7_0527000	PF3D7_0527000.1	DNA replication licensing factor MCM3, putative	MCM3	PF3D7_0527000	43.64	58.38	1278.07	1479.95	93.96	89.29	161.14	
PF3D7_0527100	PF3D7_0527100.1	ubiquitin-conjugating enzyme E2 N, putative	UBC13	PF3D7_0527100	385.36	447.88	1190	1350.37	3315.19	313.44	81.01	
PF3D7_0527200	PF3D7_0527200.1	ubiquitin carboxyl-terminal hydrolase 14	USP14	PF3D7_0527200	59.72	89.82	155.93	136.24	18.98	21	63.81	
PF3D7_0527300	PF3D7_0527300.1	methionine aminopeptidase 1a, putative	METAP1a	PF3D7_0527300	32.98	57.91	73.87	26.43	48.66	118.08	34.76	
PF3D7_0527400	PF3D7_0527400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0527400	119.07	46.42	17.53	4.69	73.35	132.27	30.99	
PF3D7_0527500	PF3D7_0527500.1	Hsc70-interacting protein	HIP	PF3D7_0527500	873.87	2279.45	2002.5	2604.06	602.9	123.98	243.03	
PF3D7_0527600	PF3D7_0527600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0527600	8.69	28.11	81.12	37.57	32.69	101.49	79.37	
PF3D7_0527900	PF3D7_0527900.1	ATP-dependent RNA helicase DDX41, putative	DDX41	PF3D7_0527900	120.84	82.27	68	9.61	17.97	10.71	36.48	
PF3D7_0528000	PF3D7_0528000.1	proteasome maturation factor UMP1, putative	UMP1	PF3D7_0528000	16.76	26.96	42.37	21.47	83.56	351.78	51.56	
PF3D7_0528100	PF3D7_0528100.1	AP-1/2 complex subunit beta, putative	N/A	PF3D7_0528100	96.41	90.54	138.51	77.9	26.75	28.64	46.91	
PF3D7_0528200	PF3D7_0528200.1	eukaryotic translation initiation factor 3 subunit E, putative	EIF3E	PF3D7_0528200	123.01	129.13	111.5	23.11	59.59	117.55	18.18	
PF3D7_0528300	PF3D7_0528300.1	conserved protein, unknown function	N/A	PF3D7_0528300	2.85	1.03	16.19	15.78	4.49	12.8	61.85	
PF3D7_0528400	PF3D7_0528400.1	palmitoyltransferase DHHC7	DHHC7	PF3D7_0528400	4.73	1.38	64.14	100.92	23.64	157.34	344.73	
PF3D7_0528500	PF3D7_0528500.1	F-actin-capping protein subunit alpha, putative	CPalpha	PF3D7_0528500	17.29	6.63	29.92	12.73	172.99	270.33	59.56	
PF3D7_0528600	PF3D7_0528600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0528600	44.35	31.31	10.62	5.84	105.18	308.65	84.19	
PF3D7_0528700	PF3D7_0528700.1	peptidyl-prolyl cis-trans isomerase	CYP23	PF3D7_0528700	150.57	142.73	220.31	56.38	2307.67	854.24	133.01	
PF3D7_0528800	PF3D7_0528800.1	nucleolar preribosomal GTPase, putative	N/A	PF3D7_0528800	31.79	27.71	9.15	0.38	7.63	40.15	43.31	
PF3D7_0528900	PF3D7_0528900.1	conserved protein, unknown function	N/A	PF3D7_0528900	23.74	4.24	2.55	0.9	202.94	2764.89	251.14	
PF3D7_0529000	PF3D7_0529000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0529000	37.76	50.28	58.27	23.51	7.99	16.8	36.49	
PF3D7_0529100	PF3D7_0529100.1	thioredoxin-like protein, putative	ATrx2	PF3D7_0529100	4.92	9.16	31.5	17.95	270.44	433.89	24.25	
PF3D7_0529200	PF3D7_0529200.1	sugar transporter, putative	N/A	PF3D7_0529200	5.36	3.44	13.52	5.26	44.46	57.43	9.93	
PF3D7_0529300	PF3D7_0529300.1	apicoplast TIC22 protein	TIC22	PF3D7_0529300	5.46	6.38	20.7	7.37	12.99	64.17	21.25	
PF3D7_0529400	PF3D7_0529400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0529400	8.62	33.77	123.89	135.47	40.48	61.96	229.25	
PF3D7_0529400	PF3D7_0529400.2	conserved Plasmodium protein, unknown function	N/A	PF3D7_0529400	8.62	33.77	123.89	135.47	40.48	61.96	229.25	
PF3D7_0529500	PF3D7_0529500.1	cell cycle regulator protein, putative	N/A	PF3D7_0529500	57.58	49.08	74.6	27.52	344.9	65.25	5.51	
PF3D7_0529700	PF3D7_0529700.1	heptatricopeptide repeat-containing protein, putative	N/A	PF3D7_0529700	1.61	1.6	4.61	1.46	3.8	14.94	2.01	
PF3D7_0529800	PF3D7_0529800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0529800	4.01	4.23	23.33	13.2	12.92	27.97	48.1	
PF3D7_0529900	PF3D7_0529900.1	RING zinc finger protein, putative	N/A	PF3D7_0529900	182.83	133.12	224.75	297.65	473.96	372.35	81.76	
PF3D7_0530000	PF3D7_0530000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0530000	5.78	5.73	34.04	6.32	123.35	154.8	268.12	
PF3D7_0530100	PF3D7_0530100.1	SNARE protein, putative	SYN6	PF3D7_0530100	21.8	12.2	40.41	7.31	18.69	88.47	114.07	
PF3D7_0530200	PF3D7_0530200.1	phosphoenolpyruvate/phosphate translocator	PPT	PF3D7_0530200	6.04	2.82	68.95	24.77	17.21	42.34	46.27	
PF3D7_0530300	PF3D7_0530300.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_0530300	4.78	1.8	46.77	122.53	13.46	57.2	26.38	
PF3D7_0530400	PF3D7_0530400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0530400	2.7	5.01	6.1	1.85	25.25	48.09	2.5	
PF3D7_0530500	PF3D7_0530500.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_0530500	2.24	0.25	0.45	0.2	8.02	9.97	2.95	
PF3D7_0530600	PF3D7_0530600.1	XAP-5 DNA binding protein, putative	N/A	PF3D7_0530600	33.25	17.21	11.36	2.76	64.7	153.7	35.41	
PF3D7_0530700	PF3D7_0530700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0530700	27.53	34.67	21.43	1.71	39.3	72.29	4.57	
PF3D7_0530750	PF3D7_0530750.1	dolichol-phosphate mannosyltransferase subunit 3, putative	DPM3	PF3D7_0530750	19.92	14.03	31.16	4.54	72.22	321.89	70.83	
PF3D7_0530800	PF3D7_0530800.1	CPW-WPC family protein	N/A	PF3D7_0530800	12.22	6.61	57.56	33.19	1237.56	2048.45	289.69	
PF3D7_0530900	PF3D7_0530900.1	formin 1	FRM1	PF3D7_0530900	4.19	0.84	18.97	58.46	7.5	27.06	25.75	
PF3D7_0531000	PF3D7_0531000.1	SURF1 domain-containing protein, putative	N/A	PF3D7_0531000	6.62	4.17	14.98	7.85	8.1	23.24	12.57	
PF3D7_0531100	PF3D7_0531100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0531100	2.9	0.36	6.15	11.62	3.04	45.85	6.98	
PF3D7_0531200	PF3D7_0531200.1	ribosomal protein S16, mitochondrial, putative	N/A	PF3D7_0531200	2.65	2.86	6.04	2.89	64.16	201.23	4.63	
PF3D7_0531300	PF3D7_0531300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0531300	2.68	0.69	12.96	13.95	34.1	131.08	5.02	
PF3D7_0531400	PF3D7_0531400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0531400	11.21	9.11	5.94	2.29	5.61	27.86	1.69	
PF3D7_0532100	PF3D7_0532100.1	early transcribed membrane protein 5	ETRAMP5	PF3D7_0532100	7306.85	69186.98	17132.27	7271.64	1382.51	70.68	174.34	
PF3D7_0532200	PF3D7_0532200.1	Plasmodium exported protein (PHISTc), unknown function	N/A	PF3D7_0532200	15.22	6.07	19.11	9.09	21.2	382.49	4.37	
PF3D7_0532300	PF3D7_0532300.1	Plasmodium exported protein (PHISTb), unknown function	N/A	PF3D7_0532300	302.95	1325.22	87.41	3.24	6.9	3.7	17.5	
PF3D7_0532400	PF3D7_0532400.1	lysine-rich membrane-associated PHISTb protein	LyMP	PF3D7_0532400	153.96	577.42	130.07	18.73	4.22	4.1	21.56	
PF3D7_0532500	PF3D7_0532500.1	Plasmodium exported protein, unknown function	N/A	PF3D7_0532500	6.04	27.62	6.84	1.69	2.89	4.01	0	
PF3D7_0532600	PF3D7_0532600.1	Plasmodium exported protein, unknown function	N/A	PF3D7_0532600	5.24	58.31	31.4	1.27	11.59	2.59	0	
PF3D7_0532700	PF3D7_0532700.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	VAR	PF3D7_0532700	3.6	0.72	0.44	0	2.07	0.99	0	
PF3D7_0532800	PF3D7_0532800.1	stevor, pseudogene	N/A	PF3D7_0532800	6.49	0.19	1.59	0	0.9	1.33	0	
PF3D7_0532900	PF3D7_0532900.1	rifin	RIF	PF3D7_0532900	12.07	2.08	7.58	0	0.74	0.22	0	
PF3D7_0533000	PF3D7_0533000.1	rifin, pseudogene	RIF	PF3D7_0533000	7.27	3.72	5.47	1.2	2.4	0.61	0	
PF3D7_0533100	PF3D7_0533100.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	VAR1CSA	PF3D7_0533100	16.16	4.21	52.78	9.13	6.75	1.04	6.58	
PF3D7_0600100	PF3D7_0600100.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	VAR	PF3D7_0600100	3.27	0	0	0	0	0.54	0	
PF3D7_0600200	PF3D7_0600200.1	erythrocyte membrane protein 1, PfEMP1	VAR	PF3D7_0600200	7.36	0.78	0.29	0.65	1.3	0.56	0.34	
PF3D7_0600300	PF3D7_0600300.1	rifin	RIF	PF3D7_0600300	7.76	3.02	2.47	0.55	17.98	2.26	0	
PF3D7_0600400	PF3D7_0600400.1	erythrocyte membrane protein 1, PfEMP1	VAR	PF3D7_0600400	0.64	0.12	0.03	0	0.09	0.16	0	
PF3D7_0600500	PF3D7_0600500.1	rifin	RIF	PF3D7_0600500	3.95	2.74	3.35	0	0.94	0.94	0	
PF3D7_0600600	PF3D7_0600600.1	erythrocyte membrane protein 1 (PfEMP1), exon 2	VAR	PF3D7_0600600	3.34	0.12	0.19	0.94	0.27	0.32	0	
PF3D7_0600700	PF3D7_0600700.1	rifin	RIF	PF3D7_0600700	3.72	1.17	0.24	1.18	0.67	0.8	2.83	
PF3D7_0600800	PF3D7_0600800.1	rifin, pseudogene	RIF	PF3D7_0600800	2.07	0.29	0.35	0	0.33	0.2	2.79	
PF3D7_0600900	PF3D7_0600900.1	rifin, pseudogene	RIF	PF3D7_0600900	4.76	0	0.65	0	0.73	0	0	
PF3D7_0601000	PF3D7_0601000.1	exported protein family 4	EPF4	PF3D7_0601000	0	0	0	0	0.38	0	0	
PF3D7_0601100	PF3D7_0601100.1	exported protein family 3	EPF3	PF3D7_0601100	0	0	0	0	0	0	0	
PF3D7_0601200	PF3D7_0601200.1	Pfmc-2TM Maurer's cleft two transmembrane protein	MC-2TM	PF3D7_0601200	0	0	0.53	0	0	0	10.55	
PF3D7_0601300	PF3D7_0601300.1	exported protein family 1	EPF1	PF3D7_0601300	0	0	0	0	0	0	0	
PF3D7_0601400	PF3D7_0601400.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	VAR	PF3D7_0601400	1.87	0.2	0.08	0	0	0	0	
PF3D7_0601500	PF3D7_0601500.1	Plasmodium exported protein (PHISTb), unknown function	N/A	PF3D7_0601500	0.12	0.11	0.09	0	0.25	0.6	0	
PF3D7_0601600	PF3D7_0601600.1	tetratricopeptide repeat protein, putative	N/A	PF3D7_0601600	0.2	0	0.29	2.16	4.09	44.58	0	
PF3D7_0601700	PF3D7_0601700.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene	N/A	PF3D7_0601700	3.71	4.23	5.18	0.71	14.97	49.42	3.42	
PF3D7_0601900	PF3D7_0601900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0601900	2157.49	16249.71	1280.47	454.4	6552.07	474.18	38.43	
PF3D7_0602000	PF3D7_0602000.1	zinc finger protein, putative	N/A	PF3D7_0602000	5.16	2.84	12.03	2.44	11.92	93.58	64.82	
PF3D7_0602100	PF3D7_0602100.1	ATP-dependent RNA helicase MTR4	MTR4	PF3D7_0602100	32.66	35.04	19.38	1.37	8.25	31.1	56.15	
PF3D7_0602200	PF3D7_0602200.1	MYND-type zinc finger protein, putative	N/A	PF3D7_0602200	27.09	100.71	51.59	9.79	43.6	32.61	13.72	
PF3D7_0602300	PF3D7_0602300.1	liver merozoite formation protein, putative	PALM	PF3D7_0602300	2.16	1.3	1.59	0.66	14.53	81.23	0	
PF3D7_0602400	PF3D7_0602400.1	elongation factor G	EF-G	PF3D7_0602400	19.93	91.84	105.14	49.07	29.9	8.57	11.63	
PF3D7_0602500	PF3D7_0602500.1	geranylgeranyl transferase type-2 subunit beta, putative	N/A	PF3D7_0602500	14.16	48.11	24.58	8.69	21.93	3.86	3.91	
PF3D7_0602600	PF3D7_0602600.1	SAC3 domain-containing protein, putative	N/A	PF3D7_0602600	55.11	22.97	18.25	5.72	11.3	31.83	7.26	
PF3D7_0602700	PF3D7_0602700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0602700	15.65	1.2	3.39	0.44	19.35	210.92	35.03	
PF3D7_0602800	PF3D7_0602800.1	JmjC domain-containing protein, putative	JmjC2	PF3D7_0602800	17.07	2.76	2.64	1.6	8.53	34.68	3.07	
PF3D7_0602900	PF3D7_0602900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0602900	18.52	8.13	27.45	24.54	12.71	87.57	38.95	
PF3D7_0603000	PF3D7_0603000.1	SDE2 domain-containing protein, putative	N/A	PF3D7_0603000	38.4	21.35	31.22	27.5	40.57	145.12	9.2	
PF3D7_0603100	PF3D7_0603100.1	RNA-binding protein, putative	N/A	PF3D7_0603100	2	0.68	20.8	7.29	11.14	87.19	10.94	
PF3D7_0603200	PF3D7_0603200.1	mitochondrial chaperone BCS1, putative	BCS1	PF3D7_0603200	5.64	5.3	43.47	7.87	18.9	18.22	10.5	
PF3D7_0603300	PF3D7_0603300.1	dihydroorotate dehydrogenase	DHODH	PF3D7_0603300	16.89	52.85	25.61	4.71	2.47	3.92	10.44	
PF3D7_0603400	PF3D7_0603400.1	trophozoite exported protein 1	TEX1	PF3D7_0603400	20.16	49.35	31.35	4.49	11.48	31.85	43.56	
PF3D7_0603500	PF3D7_0603500.1	cation/H+ antiporter	CAX	PF3D7_0603500	7.56	2.89	95.39	49.5	61.87	51.09	13.46	
PF3D7_0603600	PF3D7_0603600.1	AT-rich interactive domain-containing protein, putative	N/A	PF3D7_0603600	3.18	0.56	5.95	0.44	11	59.14	14.86	
